businessID,category
ipPhk_Tmp2JYInPWJR-ZgQ,chinese
dDXtga5Kgo5B1twdezcZJA,chinese
i9OqZT0dLMPC1TbMtyaIWQ,chinese
GJZnf3B-ADjlCV1NXsHvGQ,chinese
bAMTBEztHz4zQqYiIyzf4w,chinese
vXoV9p9PwY1bSEG6MLC83g,chinese
WIj12zDqIbBucW1hXYhrew,chinese
Puyzn1gagH9TsJz7EBJs3g,chinese
gJXNSJ9VXTuCFmp_Kl9TVQ,chinese
hR3NQG3HB1I6cC88ydbrdw,chinese
VG0XPr9jSrgd8p5WPD1HaQ,chinese
09y5uyX7z41mjoA9fVF1bQ,chinese
NFDN32ekG2gfCIikVCm0Gw,chinese
nBm-zxAWg_oA8JNtHxPvcw,chinese
FcXsiSJbk2ZnHyFJMkMK3g,chinese
eEeBhw0UeyEyH5elwm9ULg,chinese
zb78ua-FlfFRj8v082giBw,chinese
wdGMVLUzocmnl2tST0lheg,chinese
YvMLbSK_tWmaOjYGwOUd5Q,chinese
za9mYaRVWkwKkQfjRgvU0g,chinese
VQ5YGa4L4AT3ugF61hM9qQ,chinese
SR3w3XVCgpUSwDk4sZzwZQ,chinese
st93pxQapkTcWzcPTz7XCA,chinese
wzmeaMTm5cZ1JCjep7iQeA,chinese
ejdQq4SvCv-qE7qSYhtVoA,chinese
Sri-kDbSGsPPQJyp8eomKg,chinese
LpSjWO4ZU6rbxGUetRp1mA,chinese
FeTHmYg5RJiE23yFIPO7sg,chinese
3NHexRXpc3Asuo0elQcDSw,chinese
iKW9zBGWfE9CM6MfK0UtjA,chinese
LNx49p5HYVc01rKnkfKkFg,chinese
hZDZ--W5gd7E0W8lz_feLg,chinese
SMImQM_JfZkIZwflTgOAoQ,chinese
9AL3VA_4H_PMw0GPriIGQw,chinese
-FSwYW_xV__5KHTIc56B0Q,chinese
XaEFFUabnbH8ZF7ccmSAlQ,chinese
AaGq5Peah3Z-2TUBMtlC2Q,chinese
3NYQQckItp9l7GDzALw79w,chinese
